Slang,Formal
ngabdi,mengabdi
yaqin,yakin
translate,terjemahan
setulus,se tulus
penyelundup,penyelundup
sepele,sepele
doaku,doa ku
denise,denise
pngen,ingin
plek,plek
if,jika
memancing,memancing
rausah,tidak usah
amazing,luar biasa
guetakut,saya takut
huawei,huawei
membangunkanku,membangunkan ku
pipis,kencing
cur,cur
duhai,duhai
kiefsi,kfc
mundurmaju,mundur maju
kupu,kupu
makin,semakin
selangit,selangit
heaven,surga
kirimin,kirim
sholatlu,salat lu
sholat,salat
seberani,se berani
turu,tidur
simpulkan,menyimpulkan
just,hanya
panggilanmu,panggilan mu
sebahu,se bahu
ditolak,di tolak
salaman,salaman
baff,baff
manfaatin,manfaatin
suda,sudah
ceplukan,ceplukan
agooo,ago
obob,tidur
idol,idola
pantatcina,pantat cina
dibayanganku,di bayangan ku
mengikutimu,mengikuti mu
keluhanborjuis,keluhan borjuis
hijriyah,hijriyah
sontoloyo,sontoloyo
mendingan,mendingan
menggadaikan,menggadaikan
parangtritis,parangtritis
ganteng,ganteng
menerimamu,menerima mu
belom,belum
hater,hater
kumpulan,kumpulan
karaoke,karaoke
skit,sakit
entitled,berhak
citacita,cita cita
wawancara,wawancara
keluarkatanya,keluar kata nya
persahabatan,persahabatan
mabfaat,manfaat
subhannallah,subhanallah
menginginkannya,menginginkan nya
bobroknya,bobrok nya
diinginkn,diinginkan
jumpe,jumpa
dilawan,di lawan
towns,towns
wihara,wihara
ios,ios
gunadarma,gunadarma
motivasi,motivasi
ica,ica
yeeeaaayyy,hore
cd,cd
aley,aley
rohmu,roh mu
trolley,troli
bercadar,bercadar
dahsyat,dahsyat
kariadi,kariadi
ditwit,di tweet
ungkapan,ungkapan
pap,foto
dbawel,di bawel in
kelinci,kelinci
slhkan,silakan
bebatuan,bebatuan
accounting,akutans
njing,anjing
outfit,pakaian
dp,display picture
benci,benci
zarry,zarry
memelukku,memeluk ku
giveaway,give away
haikal,haikal
anakmu,anak mu
dapet,dapat
perlakuan,perlakuan
prodeo,prodeo
petuahpuasa,petuah puasa
ceritakemarinsore,cerita kemarin sore
scra,secara
terkena,terkena
uts,ujian tengah semester
talk,berbicara
marenmaren,kemarin
mashed,halus
windu,windu
