Slang,Formal
mendengarmu,mendengarmu
kurangi,kurangi
merepotkanmu,merepotkanmu
pembangkang,pembangkang
ngacung,ngacung
ngasi,memberi
senikmat,senikmat
membuatmu,membuatmu
jahatin,jahati
mengomel,mengomel
terpisah,terpisah
keeengganan,keeengganan
gtpdhl,gitu padahal
geto,begitu
muridnya,muridnya
sakitku,sakitku
mo,mau
ngeselin,ngeselin
tergiur,tergiur
berkepanjangankrna,berkepanjangan karena
fuuunn,seru
harapin,harapin
siulan,siulan
terukir,terukir
ketulusan,ketulusan
tersulit,tersulit
apaya,apa ya
ikutikutan,ikut-ikutan
beberapa,beberapa
indikator,indikator
gitukan,begitu kan
belun,belum
budget,budget
disetiap,di setiap
ngerespon,merespon
tggl,tanggal
trotoar,trotoar
numpuk,menumpuk
keberpihakan,keberpihakan
eropaapa,eropa apa
pass,pass
version,versi
penyesalanku,penyesalanku
kasarnya,kasarnya
ngaku,mengaku
memperdebatkan,memperdebatkan
wkwkk,wkwk
emotionally,secara emosional
tag,taut
siapakah,siapakah
mewah,mewah
sekitarkudus,sekitar kudus
daddy,ayah
yaitu,yaitu
akhlak,akhlak
ummat,umat
gasabaran,tidak sabar
kebimbangan,kebimbangan
kesehatanmu,kesehatanmu
kejuaraan,kejuaraan
cowocowo,laki-laki
bergerimis,bergerimis
negiri,negeri
kultur,kultur
hebatt,hebat
gugup,gugup
oppa,kakak laki-laki
kenaikan,kenaikan
didunia,di dunia
alquran,alquran
digangguindimintain,diganggu diminta
quran,alquran
hiks,menangis
singgahnya,singgahnya
normalnya,normalnya
nasibnya,nasibnya
deehhh,deh
ngerasa,merasa
menciut,mengecil
nerimo,menerima
taek,tahi
dikerjakannya,dikerjakannya
ilang,ilang
lencana,lencana
selar,selar
bnrbnr,benar benar
debitur,debitur
berjalannya,berjalannya
brengseknya,brengseknya
komposisi,komposisi
four,empat
gandengan,gandengan
utk,untuk
pemalak,pemalak
suket,suket
religius,religius
recehkantwitter,recehkan twitter
gempal,gempal
jir,anjing
berpangku,berpangku
teejun,teejun
ngerasanya,merasanya
terhenti,terhenti
prjalananhotel,perjalanan hotel
normalize,menormalisasikan
udh,udah
ditunjukkan,ditunjukkan
rawitnya,rawitnya
memutarbalikan,memutarbalikkan
baksonya,baksonya
agk,agak
ndaftar,mendaftar
sotr,sortir
kusumo,kusumo
singgahi,menyinggahi
ucapanku,ucapanku
subhanallah,subhanallah
elus,mengelus
jarang,jarang
luvvv,cinta
baring,baring
seseungguhnya,sesungguhnya
sexually,secara seksual
majuin,majukan
kari,kari
berwibawa,berwibawa
ibadahnya,ibadahnya
feminim,feminim
carapun,cara apa pun
rkuhp,RKUHP
kulkas,kulkas
ketidakmungkinan,ketidakmungkinan
brhak,berhak
bongkar,bongkar
telor,telur
tidor,tidur
bukakanlah,bukakanlah
berdamai,berdamai
logikanya,logikanya
keringin,keringin
kerruh,keruh
sealam,satu alam
comblang,comblang
darimana,darimana
perkpopan,perkoreaan
dekaden,dekaden
ampun,ampun
slankers,pemuja slank
gunain,menggunakan
pointernya,intinya
orkestra,orkestra
ditelpon,ditelpon
galaknya,galaknya
poor,miskin
ekspresiin,ekspresikan
best,terbaik
mlaran,Desa Mlaran
dm,pesan langsung
diriwayatkan,diriwayatkan
dalm,dalam
tersenyum,tersenyum
tenggelem,tenggelem
bengkoangplain,bengkoang tawar
ciuman,ciuman
ngerubah,merubah
oendidik,pendidik
setau,sepengetahuan
saha,siapa
tentang,tentang
nanyain,menanyakan
sepolos,sepolos
old,tua
dipotonginilainya,dipotong nilainya
gapenting,gapenting
seducing,menggoda
bakahuni,Bakahuni
pelukannya,pelukannya
margonda,margonda
trying,mencoba
ngincer,mengincar
histeris,histeris
hana,satu
shrsnya,seharusnya
deh,deh
responding,merespon
genarasi,generasi
kaffah,Kaffah
nganggur,menganggur
tweet,cuitan
tujuannya,tujuannya
stadium,stadium
moisturizer,pelembab
mendaratkan,mendaratkan
kebersamaan,kebersamaan
awake,bangun
nlpon,menelfon
baejin,Baejin
panik,panik
nawarnya,menawarnya
batinnya,batinnya
bebal,bebal
embul,gendut
wkwkwkwkwk,wkwk
kedengeran,terdengar
memprediksi,memprediksi
tresno,tresno
dengarkan,dengarkan
interested,tertarik
mengejar,mengejar
juta,juta
tangselbogor,Tanggerang Selatan Bogor
undangan,undangan
lamborghini,Lamborghini
perijinan,perijinan
gemesh,lucu
menyadari,menyadari
merekanya,merekanya
barulah,barulah
resign,mengundurkan diri
boroboro,boro-boro
gabisa,tidak bisa
gmbr,gambar
kementerian,kementrian
tmp,tempat
konsekuensi,konsekuensi
makannya,makannya
hnti,henti
hubungantetapi,hubungan tetapi
comeback,kembali
kepraktisan,kepraktisan
morningside,MorningSide
dijalanin,dijalankan
rumahmu,rumahmu
smp,Sekolah Menengah Pertama
walo,walau
persyaratan,persyaratan
komunis,komunis
laginseorg,lagi seorang
ketawaketawa,tertawa-tawa
ramzi,Ramzi
dkk,dan kawan-kawan
thae,tahi
catwomanizer,catwomanizer
tersohor,tersohor
logic,logika
namanama,nama-nama
ngejudge,menilai
cowoknya,cowoknya
meniupkan,meniupkan
puji,puji
baiq,baik
tawakkal,pasrah
kapooook,kapok
sukmanya,sukmanya
wmwkwkwk,wkwk
gm,Gajah Mada
lewati,lewati
abg,abang
jamannya,jamannya
ngena,terkena
wktu,waktu
penggunaannya,penggunanya
disusupi,kesusupan
juliaperez,Julia Perez
dpsedihh,Dewi Persik sedih
surabayamacet,Surabaya macet
footballl,sepakbola
dendi,Dendi
kobam,mabok
ngono,begitu
mlangkah,melangkah
gubwagub,gubernur wakil gubernur
disebelahnya,disebelahnya
seseorang,seseorang
moment,momen
issuu,isu
kuliner,kuliner
jwabnya,jawabnya
lamaaaaa,lama
them,mereka
heningnya,heningnya
lina,Lina
grusuk,grasah-grusuh
memperjuangkan,memperjuangkan
jurang,jurang
ampir,hampir
terjemahkan,terjemahkan
dibalesnya,dibalasnya
istiar,istigfar
parnoan,paranoid
bpip,BPIP
indie,Indihome
with,dengan
pke,pakai
anakkost,anak kost
bangets,banget
mmbalas,membalas
memilikimu,memilikimu
leyehleyeh,leyeh-leyeh
sorang,seorang
rantang,rantang
keluyuran,keluyuran
biscuits,biskuit
prnah,pernah
asoy,asik
sending,mengirim
mumetdimaklumin,pusing dimaklumi
tergoblok,terbodoh
diingetinget,diingat-ingat
cintamencintadicinta,cinta mencinta dicinta
keliru,keliru
disimpan,disimpan
taulah,taulah
nyengir,cengar-cengir
berkeluh,berkeluh
work,kerja
kepikiran,kepikiran
hutang,hutang
meninggi,meninggu
eehhh,eh
dicap,dicap
pembagian,pembagian
barangjasa,barang jasa
sissyy,banci
aktifnya,aktifnya
mengerang,mengerang
kaaan,kan
nci,kakak perempuan
sayanganak,sayang anak
dijanjiin,dijanjikan
dkisdh,dikasih sudah
degupnya,degupnya
sby,surabaya
ciranjang,ciranjang
oblong,oblong
melototin,melototi
black,hitam
girang,girang
dijalani,dijalani
as,seperti
myself,saya sendiri
tdk,tidak
tekipartai,teki partai
kubuat,kubuat
ala,ala
wait,tuggu
elit,elit
ngasal,mengasal
mempolitisir,mempolitisir
barista,barista
ludo,ludo
nengcinta,neng cinta
diperjelas,diperjelas
bedroom,ruang tidur
salse,salse
eka,eka
menunjukkan,menunjukkan
mencinta,mencinta
produce,menghasilkan
coming,datang
caraka,caraka
pendukungnya,pendukung
muslimah,muslimah
bergibah,bergibah
pernikahanmu,pernikahanmu
mencukupi,mencukupi
melupakannya,melupakannya
bnr,benar
anu,anu
irsyad,irsyad
amalan,amalan
terlambat,terlambat
tetiba,tiba-tiba
audisi,audisi
provinsi,provinsi
dipinjam,dipinjam
ucapkan,ucapkan
tandas,tandas
tnpa,tanpa
iyain,mengiyakan
lgsg,langsung
kayun,kayun
berolah,berolah
ciesampe,cie sampai
najisssin,najis
sampel,sampel
diputer,diputar
perkembangan,perkembangan
digrup,di grup
aseng,Aseng
dewe,dirimu sendiri
keterlaluan,keterlaluan
melewatinya,melewatinya
canggih,canggih
galfok,gagal fokus
wattpad,wattpad
hiruk,hiruk
gencar,gencar
frame,bingkai
gaza,Gaza
kerajaan,kerajaan
gapernah,tidak pernah
bnget,banget
sperti,seperti
lemahkalah,lemah kalah
satriaudahan,satria sudahan
sajajgn,saja jangan
menyesakkan,menyesakkan
world,dunia
berlangsung,berlangsung
tidaq,tidak
download,unduh
pindang,pindang
ngehilangin,menghilangkan
sangar,sangar
terseram,terseram
jagad,dunia
menujunya,menujunya
manjur,manjur
ahy,AHY
layaknya,layaknya
nenekku,nenek ku
selaku,selaku
ngirim,mengirim
repot,repot
parkirnya,parkirnya
thankful,berterimakasih
ampli,pengeras suara
sedeket,sedekat
ngoce,mengoceh
jadiin,jadikan
curiga,curiga
ruhut,Luhut
karma,karma
meperkeruh,memperkeruh
rap,rap
dikenalin,dikenalkan
memungkinkan,memungkinkan
loving,penuh dengan cinta
aplikasi,aplikasi
terkabul,terkabul
soksokan,banyak tingkah
nuansa,nuansa
utamakan,utamakan
jalaninnya,menjalankannya
sembuhkanlah,sembuhkanlah
penggantinyakahklo,penggantinyakah kalau
beneran,benaran
anti,anti
lantas,lantas
nct,NCT
mamma,Mama
ina,Indonesia
dipohon,di pohon
jersey,kaos jersey
tiduran,tiduran
mengecam,mengecam
chelsea,chelsea
bahagialah,bahagialah
perhatian,perhatian
panggungkadang,panggung kadang
lincah,lincah
moscow,Moscow
rescue,menyelamatkan
santunnya,santunnya
blogger,blogger
aparatdensus,aparat detasemen khusus
dikocok,dikocok
deep,dalam
name,nama
bencong,banci
menemanimu,menemanimu
sparepart,suku cadang
sianjiirrrdemen,si anjing suka
curhatvan,curhatan
maritertiblantas,mari tertib lalu lintas
kejayaan,kejayaan
bapanya,bapaknya
mengemukakan,mengemukakan
meniqaaa,menikah
mbake,mbak
ketempat,ke tempat
laptop,laptop
capai,capai
km,kamu
mangat,semangat
bird,burung
ngeyel,bebal
sahabatan,sahabatan
bulannya,bulannya
sayaa,saya
mc,pembawa acara
long,panjang
bedahrumahibuiriyanitrimksh,bedah rumah ibu Yanti terima kasih
bakkan,bahkan
official,resmi
kesalahan,kesalahan
diladenin,diladeni
seyakin,seyakin
terooos,terus
menemuimu,menemui mu
dgr,dengar
ktemu,bertemu
paspasan,pas-pasan
cara,cara
kepastian,kepastian
otoritas,otoritas
mostly,kebanyakan
dinikmati,di nikmati
ditiru,di tiru
apan,apaan
mlht,melihat
satusatunya,satu-satunya
kelaskelas,kelas-kelas
berteriak,berteriak
jiwaku,jiwa ku
workshop,loka karya
axis,axis
belanjaanku,belanjaan ku
stun,setrum
waspadai,waspadai
temantemanku,teman-teman ku
sayamaaf,saya maaf
taukan,tahu kan
wita,WITA
mencuit,mencuit
berdiam,berdiam
bango,bango
suaminya,suaminya
beruntung, beruntung
wajahnya,wajahnya
meninngal,meninggal
gub,gubernur
mencela,mencela
newton,newton
diwisuda,di wisuda
gatot,gatot
enggak,tidak
tv,televisi
jenisnya,jenisnya
tidakmerasakan,tidak merasakan
sejahtera,sejahtera
ketebak,tertebak
taatin,menaati
untukmu,untuk mu
messed,kacau
lengket,lengket
kegilaan,kegilaan
brianna,brianna
ngecengin,meledeki
mengingatkanku,mengingatkan ku
diawali,di awali
entire,seluruh
rtjadi,rt jadi
ngayalbabu,menghayal babu
brubah,berubah
dijelaskan,di jelaskan
yallah,ya allah
crossing,menyeberangi
mataram,mataram
mengajariku,mengajari ku
membantu,membantu
bawelnya,bawelnya
renang,renang
sayangsayangan,sayang-sayangan
ngedamprat,mendamprat
met,selamat
terpercaya,terpercaya
akuga,aku tidak
dikelilingi,di kelilingi
dihipnotis,di hipnotis
usah,usah
oh,oh
gregetperasaan,gereget perasaan
detik,detik
benarbenar,benar-benar
nying,anjing
kunjungan,kunjungan
nginep,menginap
naget,nugget
marco,marco
setahu,setahu
kuharap,ku harap
meneriakinya,meneriaki nya
dsarny,dasarnya
ngomogin,mengomongkan
teroris,teroris
pepsi,pepsi
membutuhkan,membutuhkan
cucok,cocok
berupayalah,berupaya lah
rawannya,rawannya
lurah,lurah
menyongsong,menyongsong
golkar,golongan karya
duitan,duitan
suamiku,suami ku
bokapnyokap,ayah ibu
matamuada,mata mu ada
diringkus,di ringkus
disiapin,di siapkan
ajarin,ajarkan
rusdi,rusdi
bjuang,berjuang
mitsubishi,mitsubishi
kelenteng,kelenteng
hendrik,hendrik
tulisandarilubuhhati,tulisan dari lubuk hati
dicolong,di colong
harikerjanya,hari kerjanya
difilter,di filter
lekukan,lekukan
you,kamu
juara,juara
istigfar,istigfar
batalinjd,batalkan jadi
inimedia,ini media
small,kecil
jerawatnya,jerawatnya
yatrus,yatrus
gx,tidak
bersamanya,bersamanya
sebanyak,sebanyak
golden,keemasan
klaupun,kalaupun
cintaharga,cinta harga
yagua,ya saya
overacting,berlebihan
apakabar,apa kabar
kopiindonesia,kopi indonesia
mengobati,mengobati
direbut,di rebut
spoiler,bocoran
didenda,di denda
nebas,tebas
mesen,memesan
pedas,pedas
penuturan,penuturan
firstly,pertama-tama
sudh,sudah
share,membagikan
akumencintamu,aku mencintai mu
ekspedisi,ekspedisi
teriak,teriak
oknuum,oknum
bpom,BPOM
meluber,meluber
dikamar,di kamar
coment,komentar
govlok,goblok
perbuat,perbuat
copyan,salinan
hasut,hasut
dirilis,di rilis
macbook,macbook
bgn,bangun
fitnah,fitnah
brisik,berisik
bimbang,bimbang
guee,saya
downloadin,unduhkan
ponakan,keponakan
syetan,setan
waswas,was-was
brb,segera kembali
calonyaaahh,calon nya
thanksdear,"terima kasih, sayang"
dosadosa,dosa-dosa
julit,iri
kapasitasnya,kapasitas nya
sedari,sedari
hamilsamasetan,hamil sama setan
sejenisnya,sejenisnya
folbek,ikuti kembali
puja,puja
tidakenak,tidak enak
motorcycle,motor
mengejutkan,mengejutkan
triplek,triplek
ciwi,cewek
mempatuahi,mematuhi
schedule,jadwal
diborong,di borong
jngn,jangan
bahahaha,hahaha
medali,medali
bls,balas
mkaa,maka
rai,rai
menjawab,menjawab
harimata,hari mata
kunti,kuntilanak
ngubah,mengubah
guweh,saya
pot,pot
doi,dia
ngotot,keras kepala
kalinyaga,kalinya tidak
individu,individu
persibday,hari persib
joget,joget
lgs,langsung
bernalar,bernalar
meringis,meringis
lainnya,lainnya
wlpun,walaupun
bighit,bighit
pilu,pilu
juragan,juragan
hsil,hasil
medsosku,media sosial ku
kerjamu,kerja mu
mlkkukan,melakukan
targetnya,targetnya
nantikanlah,nantikan lah
qcnya,cek kualitasnya
rahmat,rahmat
dugaanku,dugaanku
kerna,karena
bandungnightride,kebanggaan malam bandung
dialami,di alami
dianterin,di antarkan
keknya,kayaknya
ahhhhhhh,ah
positifmu,positif mu
slipi,slipi
umumnya,umunya
pendapatmu,pendapat mu
cukurnya,cukurnya
kok,kok
hentinya,hentinya
sizzyharuskuat,mendesis harus kuat
peruntukannya,peruntukannya
kepake,terpakai
terealisasi,terealisasi
solutif,solusional
text,teks
lelahnya,lelahnya
muslimtokoh,muslim tokoh
ditengah,di tengah
berfungsi,berfungsi
mengambilmu,mengambil mu
dipake,di pakai
berdesakan,berdesakkan
kehangatanmu,kehangatan mu
kesannya,kesannya
mengalah,mengalah
voting,pemungutan suara
blunder,kesalahan ceroboh
cenderung,cenderung
ngilang,menghilang
merelakan,merelakan
ikutin,mengikuti
menyembuhkan,menyembuhkan
berlomba,berlomba
diselingkuhin,di selingkuhi
temenmu,teman mu
rajiun,rajin
land,tanah
mbak,mbak
ajha,aja
elizasekar,eliza sekar
risau,risau
soleh,soleh
gakseperti,tidak seperti
ampas,ampas
keresek,keresek
mal,mal
mengemban,mengemban
strawberry,stroberi
istana,istana
ig,instagram
jani,jani
ho,oh
goblok,goblok
selipkan,menyelipkan
sebuah,satu buah
olehku,oleh ku
mencintaiku,mencintaiku
ngancem,mengancam
right,right
dandan,dandan
warsan,warisan
close,dekat
tersempit,tersempit
truck,truk
show,menunjukkan
dipaksa,di paksa
kerjasekolah,kerja sekolah
harrasement,pelecehan
bravo,hebat
keterbatasan,keterbatasan
dese,desa
mreka,mereka
tega,tega
intoleran,intoleran
pencet,pencet
skin,kulit
asikasik,asik asik
caca,caca
persatu,per satu
thai,thailand
hujuuung,ujung
bby,bayi
umb,umbi
pihakmohon,pihak mohon
performance,performa
panoramacantik,panorama cantik
police,polisi
prbuatan,perbuatan
soalnya,sebab
report,laporan
cedih,sedih
sesudah,sesudah
nancep,menancap
berhak,berhak
sekjend,sekretaris jenderal
really,benar benar
sanksi,sanksi
corak,pola
menikah,menikah
ketiplek,jiplak
comment,komen
tetep,tetap
paracetamol,parasetamol
memberikannya,memberikannya
honors,penghargaan
kuakui,aku akui
beribadah,beribadah
terdekatnya,terdekat
pit,mengadu domba
bidding,penawaran
kebesaran,terlalu besar
tercium,tercium
kloning,kloning
kantoran,kantoran
alon,alon
tangani,atasi
semestakami,semesta kami
selalu,selalu
iyee,iya
cocot,mulut
ekspresiinnya,mengekspresikannya
diaaa,dia
why,kenapa
samawaaa,sakiinah mawaddah warahmah
kasieun,kasian
ngelatih,melatih
beraksi,beraksi
makes,membuat
menuruti,menuruti
nalar,nalar
peace,damai
seble,sebal
sajah,saja
amat,sangat
poll,banget
tragedi,tragedi
dipepet,di pepet
diingatanmu,di ingatan mu
nginjek,menginjak
menghentikan,menghentikan
fisip,fakultas ilmu sosial dan ilmu politik
nuhun,terima kasih
lncr,lancar
bakauheni,bakauheni
kebodohannya,kebodohan nya
jugakalo,juga kalo
well,baiklah
ownernya,pemiliknya
ularnya,ular nya
usaisenja,usai senja
sesaat,sesaat
menganjurkan,menganjurkan
terbersit,terbesit
oembingkaian,pembingkaian
self,sendiri
ditawarin,ditawarkan
bgtu,begitu
telegram,telegram
diklat,diklat
pendem,pendam
telekomunikasi,telekomunikasi
sekelompok,satu kelompok
hidupmu,hidup mu
twibbon,twibbon
aamiin,amin
berartikah,berarti kah
ds,desa
berwawasan,memiliki wawasan
lemot,lambat
dgrin,dengarkan
cerminan,cerminan
collab,berkolaborasi
aniespernah,anies pernah
tertidur,tertidur
bbrp,beberapa
tampil,tampil
season,musim
aparat,aparat
playstorenya,playstore nya
ppramono,pramono
tahukah,tahu kah
william,william
bgt,banget
sumpaah,sumpah
takde,tidak ada
outside,diluar
senin,senin
bernegara,mempunyai negara
london,london
melambai,melambai
bawahan,bawahan
syukuri,mensyukuri
nyamperin,menghampiri
dialihin,dialihkan
baper,bawa perasan
meger,males gerak
secret,rahasia
upgrade,meningkatkan
mampir,mampir
ceplokin,menyeplokkan
jamsostek,jamsostek
pahala,pahala
rekreasi,rekreasi
tersaingi,tersaingi
smoll,kecil
terkumpul,terkumpul
kocak,lucu
pahamaplg,paham apalagi
kepingin,ingin
tidakngangep,tidak menganggap
diperoleh,diperoleh
pelataran,pelataran
warung,warung
rendang,rendang
selengkap,selengkap
beristri,ber istri
sepertiku,seperti aku
cape,lelah
thomasnya,thomas nya
ngerombak,merombak
mince,cincang
bersodara,bersaudara
cantumin,mencantumkan
biayanya,biaya nya
liatnya,liat nya
rumitsejak,rumit sejak
inisahurtiketcomharike,ini sahur tiket com hari ke
menetas,menetas
samasama,sama sama
husnul,khusnul
adaaa,ada
nyetir,menyetir
crispy,renyah
melalui,melalui
basis,basis
restart,mengulang kembali
emmm,hmm
dagingnya,daging nya
pamer,pamer
ready,siap
pecaattttt,pecat
steel,baja
belanjaaaaa,belanja
marble,kelereng
itukah,itu kah
macamana, bagaimana
sesuka,suka suka
omonganya,omongan nya
sebelahnya,sebelah nya
ilangkalo,hilang kalau
matinya,mati nya
mengertilah,pahami lah
modelannya,modelan nya
gelapnya,gelap nya
gilak,gila
rasisme,rasisme
diuangin,diuangkan
kejahatan,kejahatan
kygt,kaya gitu
kurasa,saya rasa
nc,bagus
menu,menu
lonte,pelacur
seragam,seragam
gacocok,tidak sesuai
pendaftaran,pendaftaran
sebungkus,satu bungkus
dipenjaratunggu,di penjara tunggu
blognya,blog nya
kn,kan
nobody,tidak ada siapa siapa
pakjokowi,pak jokowi
sampahkawaku,sampah kawa ku
dktnya,dekatnya
komplen,mengeluh
dipegang,dipegang
dahulu,dahulu
dilihat,dilihat
survey,survei
selasela,sela sela
ppl,orang
penyampaiannya,penyampaian nya
investasi,investasi
only,hanya
maksudnya,maksud nya
menghukum,menghukum
memamg,memang
terpikirkan,terpikirkan
iyaiya,iya 
lu,kamu
tempuh,tempuh
aya,saya
ketemu,ketemu
mydiary,buku harian saya
sosum,sosial dan humaniora
nyampur,mencampur
nyusun,menyusun
customer,pelanggan
titan,manusia raksasa
dikacungin,diperbabu
home,rumah
trans,trans
adekgemas,adik lucu
tangisin,menangisi
duwit,uang
nyepam,mengirim spam
permasalahannya,permasalahannya
byr,bayar
berpenghuni,berpenghuni
telpnya,telepon nya
tiduryg,tidur yang
mengasihinya,mengasihinya
ngalahin,mengalahkan
murnikarena,murni karena
dianggap,dianggap
nusantaradia,nusantara dia
mengurungkan,mengurungkan
bgsd,bangsat
dunya,dunia
yoongiii,yoongi
diperbudak,diperbudak
njlimet,menjelimet
menghamba,menghambat
architecture,arsitektur
menjemput,menjemput
woles,santai
manut,mengangguk
bs,bisa
yusril,yusril
menilai,menilai
boomerang,bumerang
ymm,hmm
sensitive,sensitif
recehan,recehan
level,tingkat
abangnya,kakaknya
menyakiti,menyakiti
bodoamat,tidak peduli
gebetannya,gebetan dia
kehebohan,terlalu heboh
empty,kosong
bermata,memiliki mata
ngk,tidak
berkawan,berteman
papaa,ayah
ketemuuu,bertemu
hard,keras
syekaleh,sekali
anton,anton
assistant,asisten
masalaha,masalah
delicious,enak
beri,beri
ki,aku
beautiful,cantik
flawless,sempurna
lose,longgar
sesekali,sesekali
tebas,menyingkirkan
gaul,gaul
mintaseharusnya,minta seharusnya
dailysinthaa,daily sintha
dixy,dixy
fisika,fisika
sahabatnya,sahabat nya
pantaskah,pantas kah
jikalau,jikalau
bikin,buat
terserahmau,terserah mau
oooooooooo,oh
ketagihan,ketagihan
mendung,mendung
beritanya,berita nya
slalu,selalu
gasabar,tidak sabar
secantik,secantik
tercicipi,mencicipi
aminnn,amin
digit,digit
desi,desi
parcaya,percaya
dijabarkan,dijabarkan
tulisannya,tulisan nya
fenomenal,fenomenal
sepenting,sepenting
memanggil,memanggil
ngatain,mengutuk
dirampok,dirampok
membukanya,membukanya
dipancang,dipancing
kosa,kosa
dilanjutin,dilanjutkan
graris,gratis
dbatalin,dibatalkan
paketbeli,paket beli
keliatan,kelihatan
membenco,membenci
trik,trik
pilihannya,pilihan nya
berbaring,berbaring
amalkan,donasi
cayanggg,sayang
segitiga,segitiga
tanktop,tanktop
monument,monumen
trainee,peserta pelatihan
timang,timbang
ituthanks,terima kasih
pacaranjamandulu,pacaran jaman dahulu
menertawakan,menertawakan
depannya,depannya
cium,cium
sebelumnya,sebelumnya
family,keluarga
dikumpulkan,dikumpulkan
legislative,legislatif
marwahmu,marwah mu
mendidih,mendidih
riweh,repot
kurusgemuk,kurus gemuk
stress,stress
kekeh,kekeh
kapel,pasangan
diatas,di atas
arsya,arsya
jembut,jembut
terkendalijika,terkendali jika
didikmu,didikanmu
mac,mac
prabowo,prabowo
welcome,selamat datang
ruparupa,rupa-rupa
tersangk,tersangka
harilingkunganhidupsedunia,hari lingkungan hidup sedunia
taktik,taktik
nathania,nathania
bacakan,membacakan
isteri,istri
accompany,menemani
korup,korupsi
makimaki,memaki-maki
trip,perjalanan
belajarlah,belajar lah
mals,malas
ijinlibur,izin libur
diberkati,diberkati
mendagri,menteri perdagangan dalam negeri
chat,obrolan
lirih,lirih
kepedesan,kepedasan
sek,sek
dicari,dicari
lock,dikunci
mmg,memang
jemput,jemput
adlah,adalah
sptinya,sepertinya
venue,lokasi
igtt,baiklah
senenh,senang
lemes,lemas
berbarisbaris,berbaris-baris
sll,selalu
seperangkat,seperangkat
hadeee,aduh
dialem,dipuji
tomang,tomang
gengnya,gengnya
happyjendeukieday,happy jendeukie day
bernama,bernama
menhub,menteri perhubungan
gueeeee,saya
habib,habib
kepanjangaaannnnnn,kepanjangan
abah,ayah
untungnyaaa,untungnya
republiksepeda,republik sepeda
namamu,nama kamu
kru,kru
gimanaaa,bagaimana
olang,orang
belikan,belikan
dimasjid,di masjid
telp,telepon
bejibun,banyak
astagaaaaaahhh,astaga
adl,adalah
tin,kaleng
aktingnya,akting nya
tng,tenang
relakan,relakan
thrdisambut,disambut
kelak,kelak
traveloka,traveloka
kenyataan,kenyataan
apbn,anggaran pendapatan dan belanja negara
ngewujudin,mewujudkan
fangirl,fangirl
khataman,khataman
shawn,shawn
ele,jelek
yagk,ya tidak
banggain,banggakan
awas,awas
gatel,gatal
izinkan,izinkan
ujungujungnya,ujung-ujungnya
buktinya,buktinya
reason,alasan
cintailah,cintai lah
napi,narapidana
dihighlight,di sorot
digituin,diperlakukan seperti itu
disadari,di sadari
yaallahsmoga,ya allah semoga
goyah,goyah
muncul,muncul
amis,amis
keliatannya,kelihatannya
sebrangan,sebrangan
oshimen,"oh sial, kawan"
wujudnya,wujudnya
tingkatkan,tingkatkan
dtang,datang
mantul,mantap betul
hadirnya,hadirnya
diwaktu,di waktu
genetik,genetik
indohome,indihome
danilla,danilla
mencegah,mencegah
tibatibakangensuami,tiba tiba kangen suami
skrang,sekarang
jelajahdesa,jelajah desa
tuhan,Tuhan
memasuki,memasuki
karantina,karantina
kejujuran,kejujuran
ketentuan,ketentuan
alumnus,alumnus
ksian,kasihan
keahlian,keahlian
pengsan,pingsan
ahahahahahhaha,hahaha
dimaki,di maki
wish,berharap
jgkel,jengkel
manggung,manggung
apkl,apa kalau
secara,secara
kucingnya,kucingnya
riau,riau
nyebarin,menyebarkan
donasi,donasi
huhuhuhu,menangis
memakan,memakan
trending,sedang tren
ngumbar,mengumbar
tertib,tertib
pembangunan,pembangunan
npwp,npwp
dipahami,di pahami
tudey,hari ini
explore,eksplor
tuhaaannnn,Tuhan
mbacot,bacot
solehah,saleh
longgar,longgar
september,september
berteman,berteman
amarahku,amarah ku
ygvkrg,yang sekarang
check,cek
yaterus,ya terus
kehebatanya,kehebatannya
permisif,permisif
claims,klaim
jugaceramah,juga ceramah
begoloe,bego kamu
dtk,detik
menurutku,menurut ku
rin,rin
sikapku,sikap ku
salahin,salahkan
same,sama
cicit,cicit
selese,selesai
ikhlaaaassss,ikhlas
ahhh,ah
dicatet,di catat
soekarno,soekarno
ngode,mengkode
tentu,tentu
lengser,lengser
die,mati
trimksh,terima kasih
link,tautan
blh,boleh
setelahnya,setelahnya
fanatik,fanatik
kitty,kucing
ngakak,tertawa
dihadapinya,di hadapinya
syukut,syukur
ngarti,mengerti
terungkap,terungkap
budha,budha
takkan,tidak akan
vaksin,vaksin
pjg,panjang
bpjs,BPJS
berag,berak
pahalanya,pahalanya
dipundak,di pundak
lancarkanlah,lancarkan lah
harvest,harvest
salarynya,gajinya
shoppe,shoppee
pudarseperti,pudar seperti
gratak,geratak
rangka,rangka
dijakarta,di jakarta
jadiiii,jadi
min,minimal
mehong,mahal
seisi,seisi
much,banyak
lau,kamu
butuh,butuh
spt,seperti
trading,jual beli
alumni,alumni
lotus,lotus
kecapean,terlalu capek
degdegan,deg-degan
picture,foto
diami,diami
mentri,menteri
pelemahan,pelemahan
penasaran,penasaran
aloevera,aloevera
parpol,partai politik
contohnya,contohnya
istighfar,istighfar
warungnya,warungnya
diatur,di atur
menginginkanya,menginginkannya
apalin,menghafalkan
digadoin,digadoin
gelarnya,gelarnya
terganggu,terganggu
persepsi,persepsi
nomer,nomor
samsek,sama sekali
kacauu,kacau
broadcast,siaran
temennya,temannya
cacian,cacian
tolonf,tolong
kubendungmom,kubendung ibu
debatgils,debat tidak jelas
